格网左下角经度（度）,格网右上角纬度（度）,格网相对Y坐标,格网相对X坐标,格网ID（唯一）,格网左下角纬度（度）,格网右上角经度（度）,格网编码,grid_id,lon,lat,station_id,spatial_type,coordinate_role,crs,source,quality_flag
114.4933,22.68,27,76,2560,22.67,114.5033,"76,27",2560,114.4983,22.675,SZ_GRID_2560,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.1733,22.85,44,44,4092,22.84,114.1833,"44,44",4092,114.17830000000001,22.845,SZ_GRID_4092,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.5033,22.68,27,77,2561,22.67,114.5133,"77,27",2561,114.50829999999999,22.675,SZ_GRID_2561,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.2333,22.85,44,50,4098,22.84,114.2433,"50,44",4098,114.23830000000001,22.845,SZ_GRID_4098,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.5333,22.68,27,80,2564,22.67,114.5433,"80,27",2564,114.53829999999999,22.675,SZ_GRID_2564,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.1433,22.41,0,41,41,22.4,114.1533,"41,0",41,114.1483,22.405,SZ_GRID_41,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.5433,22.68,27,81,2565,22.67,114.5533,"81,27",2565,114.5483,22.675,SZ_GRID_2565,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.1533,22.45,4,42,410,22.44,114.1633,"42,4",410,114.1583,22.445,SZ_GRID_410,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.5633,22.68,27,83,2567,22.67,114.5733,"83,27",2567,114.5683,22.675,SZ_GRID_2567,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.2533,22.85,44,52,4100,22.84,114.2633,"52,44",4100,114.25829999999999,22.845,SZ_GRID_4100,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.5833,22.68,27,85,2569,22.67,114.5933,"85,27",2569,114.5883,22.675,SZ_GRID_2569,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.3133,22.85,44,58,4106,22.84,114.3233,"58,44",4106,114.3183,22.845,SZ_GRID_4106,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.4633,22.43,2,73,257,22.42,114.4733,"73,2",257,114.4683,22.425,SZ_GRID_257,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.3533,22.85,44,62,4110,22.84,114.3633,"62,44",4110,114.3583,22.845,SZ_GRID_4110,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.6233,22.68,27,89,2573,22.67,114.6333,"89,27",2573,114.6283,22.675,SZ_GRID_2573,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.3733,22.85,44,64,4112,22.84,114.3833,"64,44",4112,114.3783,22.845,SZ_GRID_4112,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.6333,22.68,27,90,2574,22.67,114.6433,"90,27",2574,114.6383,22.675,SZ_GRID_2574,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.4233,22.85,44,69,4117,22.84,114.4333,"69,44",4117,114.42830000000001,22.845,SZ_GRID_4117,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
114.6433,22.68,27,91,2575,22.67,114.6533,"91,27",2575,114.6483,22.675,SZ_GRID_2575,interpolated_observation_grid,grid_center_not_station,EPSG:4326,Shenzhen Meteorological Bureau / interpolated observation grid,interpolated_observation_grid
