UPDATETIME,STCD,STNM,DATA_SHARING_CD_TIME_IDATAT,CD_TIME,INS,CD_BATCH,OPEN_ID,DMP_SHARE_CD_TIME_IDATAT,ADD_TIME,UPDATETIME_OLD,CD_OPERATION,STTP,ID,UPDATESTATUS,SEQ
1760096408000,MS1068160340000005,老虎坑水库,1760096408000,1715244842000,4002,2024050900002,3,1756783155000,1715244842000,,I,水库水位站,207,0,2361
1760096408000,MS110440306000029X,(市)辛养旧村辛居路,1760096408000,1712023106000,3831,2024040200037,5,1756783155000,1712023106000,,I,内涝水情站,37,0,2190
1760096408000,MS1104403060000342,(市)海乐41区,1760096408000,1712023106000,3816,2024040200022,7,1756783155000,1712023106000,,I,内涝水情站,22,0,2175
1760096408000,MS1104403090000137,(市)昌茂二路,1760096408000,1712023106000,3805,2024040200011,9,1756783155000,1712023106000,,I,内涝水情站,11,0,2164
1760096408000,MS1104403070000194,(市)龙翔大道与龙城大道交汇处,1760096408000,1712023106000,3815,2024040200021,11,1756783155000,1712023106000,,I,内涝水情站,21,0,2174
1760096408000,MS1104403030000228,(市)红岗公园,1760096408000,1712023106000,3826,2024040200032,13,1756783155000,1712023106000,,I,内涝水情站,32,0,2185
1760096408000,MS1068121218700005,立新水库,1760096408000,1715244843000,4022,2024050900022,15,1756783155000,1715244843000,,I,水库水位站,227,0,2381
1760096408000,MS1068110591000002,雅宝水库,1760096408000,1715244842000,4008,2024050900008,17,1756783155000,1715244842000,,I,水库水位站,213,0,2367
1760096408000,MS106812093000000X,横岗正坑水库,1760096408000,1715244843000,4016,2024050900016,19,1756783155000,1715244843000,,I,水库水位站,221,0,2375
1760096408000,MS1068111166000006,跃进水库,1760096408000,1715244843000,4014,2024050900014,18,1756783155000,1715244843000,,I,水库水位站,219,0,2373
1760096408000,MS1068120850000009,牛蜞坑水库,1760096408000,1715244842000,4003,2024050900003,16,1756783155000,1715244842000,,I,水库水位站,208,0,2362
1760096408000,MS1104403050000141,(市)南新路北头豪苑,1760096408000,1712023107000,3838,2024040200044,14,1756783155000,1712023107000,,I,内涝水情站,44,0,2197
1760096408000,MS1104403100000047,(市)群代路金泰航科技,1760096408000,1712023106000,3819,2024040200025,12,1756783155000,1712023106000,,I,内涝水情站,25,0,2178
1760096408000,MS1104403040000558,(市)信托花园,1760096408000,1712023106000,3806,2024040200012,10,1756783155000,1712023106000,,I,内涝水情站,12,0,2165
1760096408000,MS1104403060000505,(市)海天路地下隧道,1760096408000,1712023106000,3810,2024040200016,8,1756783155000,1712023106000,,I,内涝水情站,16,0,2169
1760096408000,MS1104403060000452,(市)宝源路固戍海滨公园,1760096408000,1712023106000,3821,2024040200027,6,1756783155000,1712023106000,,I,内涝水情站,27,0,2180
1760096408000,MS1104403110000620,(市)松白路松茂御城段,1760096408000,1712023107000,3839,2024040200045,4,1756783155000,1712023107000,,I,内涝水情站,45,0,2198
1760096408000,MS1068110538000006,茅湖水库,1760096408000,1715244842000,4006,2024050900006,2,1756783155000,1715244842000,,I,水库水位站,211,0,2365
1760096408000,MS1068160892000008,南风坑水库,1760096408000,1715244842000,4010,2024050900010,1,1756783155000,1715244842000,,I,水库水位站,215,0,2369
1760096409000,MS1068120824000005,铁岗水库,1760096409000,1715244843000,4030,2024050900030,41,1756783155000,1715244843000,,I,水库水位站,235,0,2389
1760096409000,MS106811034200000X,茜坑水库,1760096409000,1715244843000,4040,2024050900040,43,1756783155000,1715244843000,,I,水库水位站,245,0,2399
1760096409000,MS1068120750000008,水车头水库,1760096409000,1715244843000,4053,2024050900053,45,1756783155000,1715244843000,,I,水库水位站,258,0,2412
1760096409000,MS1068160883000007,三角山水库,1760096409000,1715244844000,4068,2024050900068,47,1756783155000,1715244844000,,I,水库水位站,273,0,2427
1760096409000,MS1068160897000003,深汕响水水库,1760096409000,1715244844000,4081,2024050900081,49,1756783155000,1715244844000,,I,水库水位站,286,0,2440
1760096409000,MS1068161714000007,罗屋田水库,1760096409000,1715244846000,4156,2024050900156,51,1756783155000,1715244846000,,I,水库水位站,361,0,2515
1760096409000,MS1068110610000004,观澜横坑水库,1760096409000,1715244846000,4168,2024050900168,53,1756783155000,1715244846000,,I,水库水位站,373,0,2527
1760096409000,MS1068122274000003,深圳,1760096409000,1715244846000,4188,2024050900188,55,1756783155000,1715244846000,,I,水库水位站,393,0,2547
1760096409000,MS1068121208500009,莲塘水库,1760096409000,1715244847000,4199,2024050900199,57,1756783155000,1715244847000,,I,水库水位站,404,0,2558
1760096409000,MS1048120988000001,穿孔桥,1760096409000,1719477300000,4208,2024062700004,59,1756783155000,1719477300000,,I,河道水位站,413,0,2567
1760096409000,MS104812073800000X,东坑,1760096409000,1719477302000,4297,2024062700081,61,1756783155000,1719477302000,,I,河道水位站,490,0,2656
1760096409000,MS104811051300000X,年丰,1760096409000,1719477303000,4310,2024062700094,63,1756783155000,1719477303000,,I,河道水位站,503,0,2669
1760096409000,MS1048120846000002,前海,1760096409000,1719477303000,4320,2024062700103,65,1756783155000,1719477303000,,I,河道水位站,512,0,2679
1760096409000,MS104GLH0200300000,下游观澜厂控制闸干流雷达水位监测点,1760096409000,1719477303000,4330,2024062700113,67,1756783155000,1719477303000,,I,河道水位站,522,0,2689
1760096409000,MS1048120908000001,水库公园,1760096409000,1719477303000,4336,2024062700118,69,1756783155000,1719477303000,,I,河道水位站,527,0,2695
1760096409000,MS1068111160900005,深蓄电站上水库,1760096409000,1715244844000,4088,2024050900088,71,1756783155000,1715244844000,,I,水库水位站,293,0,2447
1760096409000,MS1068110547000007,田祖上水库,1760096409000,1715244845000,4102,2024050900102,73,1756783155000,1715244845000,,I,水库水位站,307,0,2461
1760096409000,MS1068110518000006,南风坳水库,1760096409000,1715244845000,4111,2024050900111,75,1756783155000,1715244845000,,I,水库水位站,316,0,2470
1760096409000,MS1068161710000000,上坪水库,1760096409000,1715244845000,4121,2024050900121,77,1756783155000,1715244845000,,I,水库水位站,326,0,2480
1760096409000,MS1068110552000001,三坑水库,1760096409000,1715244845000,4130,2024050900130,79,1756783155000,1715244845000,,I,水库水位站,335,0,2489
1760096409000,MS1068160869000001,黄京埔水库,1760096409000,1715244845000,4136,2024050900136,81,1756783155000,1715244845000,,I,水库水位站,341,0,2495
1760096409000,MS1068110549000005,和尚径水库,1760096409000,1715244843000,4018,2024050900018,83,1756783155000,1715244843000,,I,水库水位站,223,0,2377
1760096409000,MS1068160332000003,马草龙水库,1760096409000,1715244842000,4001,2024050900001,85,1756783155000,1715244842000,,I,水库水位站,206,0,2360
1760096409000,MS1104403070000232,(市)园新路与乐园路交汇处,1760096409000,1712023107000,3841,2024040200047,87,1756783155000,1712023107000,,I,内涝水情站,47,0,2200
1760096409000,MS1104403030000323,(市)晒布路与东门中路交汇处,1760096409000,1712023106000,3828,2024040200034,89,1756783155000,1712023106000,,I,内涝水情站,34,0,2187
1760096409000,MS110440311000064X,(市)光明区高级中学,1760096409000,1712023106000,3820,2024040200026,91,1756783155000,1712023106000,,I,内涝水情站,26,0,2179
1760096409000,MS1104403110000616,(市)同观路与汇融路交叉口,1760096409000,1712023106000,3812,2024040200018,93,1756783155000,1712023106000,,I,内涝水情站,18,0,2171
1760096409000,MS1104403070000323,(市)京南路,1760096409000,1712023106000,3801,2024040200007,95,1756783155000,1712023106000,,I,内涝水情站,7,0,2160
1760096409000,MS1104403040000600,(市)侨香路香安社区,1760096409000,1712023108000,3896,2024040200102,97,1756783155000,1712023108000,,I,内涝水情站,102,0,2255
1760096409000,MS110440309000007X,(市)银星科技园,1760096409000,1712023108000,3883,2024040200089,99,1756783155000,1712023108000,,I,内涝水情站,89,0,2242
1760096409000,MS1104403100000032,(市)秀沙路比亚迪厂门前,1760096409000,1712023107000,3873,2024040200079,101,1756783155000,1712023107000,,I,内涝水情站,79,0,2232
