RAIN01H,DDATETIME,MAXTOFDAY,UPDATETIME,RAIN03H,CD_TIME,PLEVEL,YBSX,INS,CD_BATCH,T,V,SLP,CD_OPERATION,KEYID,ID,UPDATESTATUS,WDIR,RAIN24H,RAIN02H,FORECASTTIME,DATA_SHARING_CD_TIME_IDATAT,CRTTIME,RECID,GRIDID,OPEN_ID,DMP_SHARE_CD_TIME_IDATAT,WD3SMAXDF,ADD_TIME,WSPD,TRACERR01H,WD3SMAXDD,BY2,BY1,RAIN06H,SEQ,RHSFC
0.7,2020-07-03 07:20:00,30.0,1593732919000,0.7,,0,0,24250626,,28.1,16.61,995.0,,430483733,,0,254.8,2.7,0.7,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892979,2706,1,,1.8,,0.6,-1.0,265.4,,,0.7,24212526,86.5
0.7,2020-07-03 07:20:00,30.0,1593732919000,0.7,,0,0,24250627,,28.1,16.37,994.5,,430483734,,0,246.7,2.8,0.7,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892980,2707,2,,1.8,,0.7,-1.0,258.9,,,0.8,24212527,86.5
0.7,2020-07-03 07:20:00,30.1,1593732919000,0.7,,0,0,24250628,,28.1,16.19,994.6,,430483735,,0,243.7,3.0,0.7,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892981,2708,3,,1.7,,0.6,-1.0,258.3,,,0.7,24212528,86.5
0.6,2020-07-03 07:20:00,30.0,1593732919000,0.6,,0,0,24250629,,28.1,16.06,995.3,,430483736,,0,255.5,3.3,0.6,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892982,2709,4,,1.2,,0.2,-1.0,270.1,,,0.6,24212529,86.6
0.5,2020-07-03 07:20:00,29.8,1593732919000,0.5,,0,0,24250630,,28.2,15.83,996.4,,430483737,,0,314.3,4.8,0.5,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892983,2710,5,,0.9,,0.1,-1.0,292.1,,,0.5,24212530,86.2
0.3,2020-07-03 07:20:00,29.5,1593732919000,0.3,,0,0,24250631,,28.3,15.81,997.3,,430483738,,0,26.8,5.9,0.3,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892984,2711,6,,0.8,,0.3,-1.0,342.9,,,0.4,24212531,87.1
0.2,2020-07-03 07:20:00,29.3,1593732919000,0.2,,0,0,24250632,,28.3,15.82,998.2,,430483739,,0,35.3,7.4,0.2,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892985,2712,7,,1.1,,0.5,-1.0,21.2,,,0.3,24212532,87.9
0.0,2020-07-03 07:20:00,29.2,1593732919000,0.0,,0,0,24250633,,28.4,15.85,998.6,,430483740,,0,29.0,9.7,0.0,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892986,2713,8,,1.9,,0.9,-1.0,31.2,,,0.1,24212533,88.5
0.0,2020-07-03 07:20:00,29.2,1593732919000,0.0,,0,0,24250634,,28.4,15.87,998.8,,430483741,,0,26.3,10.1,0.0,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892987,2714,9,,1.8,,0.8,-1.0,25.5,,,0.1,24212534,88.6
0.0,2020-07-03 07:20:00,29.2,1593732919000,0.0,,0,0,24250635,,28.5,15.78,999.0,,430483742,,0,17.3,10.1,0.0,2020-07-03 07:20:00,,2020-07-03 07:27:52,2408892988,2715,10,,1.7,,0.7,-1.0,6.4,,,0.2,24212535,88.7
