x,y,low_elevation,slope,landcover,rainfall_truth,water_level_truth
0,1,0.15,0.30,0.25,0.20,0.10
1,1,0.18,0.28,0.30,0.22,0.12
2,1,0.22,0.25,0.35,0.24,0.14
3,1,0.35,0.20,0.55,0.85,0.90
4,1,0.36,0.20,0.55,0.84,0.88
5,1,0.34,0.22,0.52,0.82,0.86
6,1,0.28,0.30,0.40,0.30,0.20
7,1,0.20,0.33,0.32,0.25,0.16
0,0,0.12,0.45,0.20,0.18,0.08
1,0,0.14,0.42,0.25,0.19,0.09
2,0,0.18,0.38,0.28,0.21,0.11
3,0,0.22,0.35,0.32,0.25,0.14
4,0,0.24,0.34,0.35,0.26,0.15
5,0,0.23,0.36,0.34,0.25,0.14
6,0,0.20,0.40,0.30,0.22,0.12
7,0,0.16,0.44,0.26,0.20,0.10
