x,y,rainfall_observed,water_level_observed,age_minutes,uncertainty,sensitivity
0,1,0.20,0.10,120,0.30,0.05
1,1,0.22,0.12,120,0.30,0.05
2,1,0.24,0.14,120,0.35,0.10
3,1,0.20,0.12,120,0.95,1.00
4,1,0.20,0.12,120,0.95,1.00
5,1,0.20,0.12,120,0.95,1.00
6,1,0.30,0.20,120,0.35,0.10
7,1,0.25,0.16,120,0.30,0.05
0,0,0.18,0.08,15,0.12,0.03
1,0,0.19,0.09,15,0.12,0.03
2,0,0.21,0.11,15,0.12,0.03
3,0,0.25,0.14,15,0.12,0.03
4,0,0.26,0.15,15,0.12,0.03
5,0,0.25,0.14,15,0.12,0.03
6,0,0.22,0.12,15,0.12,0.03
7,0,0.20,0.10,15,0.12,0.03
