mode,seed,missing_rate,truth_exposure
risk,6101,0.0,0.6226839418195583
risk,6101,0.2,0.6246878718497493
risk,6101,0.4,0.6260565660402282
risk,6102,0.0,0.6221354891553599
risk,6102,0.2,0.6227019497290681
risk,6102,0.4,0.6226795419266545
risk,6103,0.0,0.6218669398939707
risk,6103,0.2,0.6228526379033836
risk,6103,0.4,0.6233193579329737
risk_uncertainty,6101,0.0,0.6230134522517391
risk_uncertainty,6101,0.2,0.6259622171495615
risk_uncertainty,6101,0.4,0.626396442972416
risk_uncertainty,6102,0.0,0.6225259680810034
risk_uncertainty,6102,0.2,0.6238672672345426
risk_uncertainty,6102,0.4,0.6232312193938759
risk_uncertainty,6103,0.0,0.6221460269858209
risk_uncertainty,6103,0.2,0.6243376409672833
risk_uncertainty,6103,0.4,0.6225550184783374
shortest,6101,0.0,0.6309230714798619
shortest,6101,0.2,0.6309230714798619
shortest,6101,0.4,0.6309230714798619
shortest,6102,0.0,0.6295820259458855
shortest,6102,0.2,0.6295820259458855
shortest,6102,0.4,0.6295820259458855
shortest,6103,0.0,0.6288443261729197
shortest,6103,0.2,0.6288443261729197
shortest,6103,0.4,0.6288443261729197
trusted,6101,0.0,0.6231027085342239
trusted,6101,0.2,0.6266368157981982
trusted,6101,0.4,0.6258815587790999
trusted,6102,0.0,0.6226662078502133
trusted,6102,0.2,0.6242688127858111
trusted,6102,0.4,0.6234980403553918
trusted,6103,0.0,0.6220495745752299
trusted,6103,0.2,0.6241611930498333
trusted,6103,0.4,0.6230130335803958
