mode,seed,delay_min,truth_exposure
risk,6101,0,0.6261333555918354
risk,6101,15,0.6237475188532545
risk,6101,30,0.6240756667278645
risk,6101,60,0.6261290109316352
risk,6101,120,0.6222950807446365
risk,6102,0,0.622602155531326
risk,6102,15,0.6211643469822746
risk,6102,30,0.6211911455624844
risk,6102,60,0.6255177649347455
risk,6102,120,0.6220528883409735
risk,6103,0,0.621659115512545
risk,6103,15,0.6229871404464661
risk,6103,30,0.6228380776206908
risk,6103,60,0.623291134135726
risk,6103,120,0.6226227585017851
risk_uncertainty,6101,0,0.6254553595057604
risk_uncertainty,6101,15,0.6249134716772571
risk_uncertainty,6101,30,0.623082294383532
risk_uncertainty,6101,60,0.6254450101049213
risk_uncertainty,6101,120,0.6267240516180569
risk_uncertainty,6102,0,0.6231949140672224
risk_uncertainty,6102,15,0.6208548213496036
risk_uncertainty,6102,30,0.621768902528229
risk_uncertainty,6102,60,0.6250714292748879
risk_uncertainty,6102,120,0.6251506906290936
risk_uncertainty,6103,0,0.6226988048297041
risk_uncertainty,6103,15,0.6231278579326297
risk_uncertainty,6103,30,0.6221296874451199
risk_uncertainty,6103,60,0.6237460783367559
risk_uncertainty,6103,120,0.6233620488415265
shortest,6101,0,0.6309230714798618
shortest,6101,15,0.6309230714798618
shortest,6101,30,0.6309230714798618
shortest,6101,60,0.6309230714798618
shortest,6101,120,0.6309230714798618
shortest,6102,0,0.6295820259458854
shortest,6102,15,0.6295820259458854
shortest,6102,30,0.6295820259458854
shortest,6102,60,0.6295820259458854
shortest,6102,120,0.6295820259458854
shortest,6103,0,0.6288443261729197
shortest,6103,15,0.6288443261729197
shortest,6103,30,0.6288443261729197
shortest,6103,60,0.6288443261729197
shortest,6103,120,0.6288443261729197
trusted,6101,0,0.6251752929924814
trusted,6101,15,0.6240329084775432
trusted,6101,30,0.624668570153211
trusted,6101,60,0.6254343152779107
trusted,6101,120,0.6267240516180569
trusted,6102,0,0.6239630495722216
trusted,6102,15,0.6205059345522509
trusted,6102,30,0.6221316491873039
trusted,6102,60,0.6255031591462598
trusted,6102,120,0.6252846425276576
trusted,6103,0,0.6237017300457549
trusted,6103,15,0.6224258046673083
trusted,6103,30,0.6220620204874956
trusted,6103,60,0.6238213979670134
trusted,6103,120,0.6233620488415265
