rain_bin,static_bin,count,conditional_water_mean,conditional_water_variance
0,0,243122,0.009379879802338311,0.0004383175420155074
0,1,1038212,0.0191574007386057,0.0012412560263978887
0,2,6667412,0.031682795033818364,0.0030445601593014565
0,3,5376678,0.03364608531632266,0.0035810973051491586
0,4,17077687,0.03826375661742242,0.0045627991456093486
1,0,53226,0.021126767804815,0.0012031349202962752
1,1,176125,0.05309245348221512,0.004863338900139156
1,2,1173275,0.060396745468890824,0.0070182148167395875
1,3,889801,0.06256065165270436,0.008052882007524683
1,4,2839464,0.06559055588813135,0.008773533989313154
2,0,27912,0.03322549861898487,0.0016513645123122202
2,1,90476,0.08399621604080747,0.006509024463043473
2,2,684804,0.08910028546825102,0.009748956101011836
2,3,510943,0.09372467808398195,0.011251628418996865
2,4,1621657,0.09742425870477067,0.012275644687382051
3,0,27073,0.03953749805141291,0.0022853558165456334
3,1,73141,0.0958613231450391,0.006551965912274787
3,2,460345,0.10710013183874169,0.00891743027423261
3,3,359201,0.11356576287267915,0.011188429185341808
3,4,1069263,0.11581206223296939,0.012428148832772346
4,0,16763,0.047930394284924856,0.002260445772286325
4,1,52882,0.1251417042910213,0.008221726417849705
4,2,336212,0.13796892127779986,0.015241275819074206
4,3,263038,0.1505659434211748,0.017778075428721077
4,4,792365,0.15411673487078673,0.02019665828763384
5,0,17938,0.05062466929600136,0.002672168075705055
5,1,54717,0.145931245446493,0.010051998276240447
5,2,322371,0.1653230996076374,0.016104251904178163
5,3,228822,0.1721798020797945,0.02127529496337361
5,4,642720,0.17198108884523663,0.021638656904638103
6,0,14254,0.05181803307165663,0.002659916743951674
6,1,42289,0.1669187688337939,0.011793046687705568
6,2,257224,0.18552350390386937,0.01629670899848599
6,3,191597,0.19499084314531068,0.020684427468516516
6,4,576370,0.19493520913357132,0.022161164148280614
7,0,11053,0.06055967642850562,0.0027148126231021415
7,1,38207,0.1848188031932926,0.010122810029435748
7,2,190971,0.207812043550166,0.01780459931892131
7,3,150873,0.2178581478003637,0.023205526975552893
7,4,464560,0.22140437973179586,0.023826998344060497
8,0,9579,0.05860224259776011,0.003269388767819577
8,1,27013,0.18642811989875424,0.011173216827915798
8,2,163441,0.22533482430771923,0.01896553442147618
8,3,131499,0.2471145680427709,0.027327454270079064
8,4,366766,0.23823420046517446,0.027190489371757727
9,0,44344,0.06656133522098356,0.0033362751308019757
9,1,102970,0.22709567540974537,0.011105048694847318
9,2,654537,0.2802455729472637,0.013857457466215278
9,3,494780,0.2898931055065014,0.017966379568106483
9,4,1358204,0.2879807251731723,0.018372436115991556
