case_category,u,v,key,rain_truth,water_truth,planner_rain_component,planner_water_component,rain_only_risk,fusion_risk,edge_cost,selected_by_rain_route,selected_by_perfect_route,rain_risk_rank,fusion_risk_rank,risk_rank_change
better,278221801,278222025,0,0.6685972946548102,0.078129396,0.3677285120601457,0.01562588,0.6224342272916039,0.5317167553834287,386.28041404929303,True,True,68.0,67.0,-1.0
better,278221868,2299600479,0,0.6903224372245742,0.07371554,0.37967734047351587,0.014743107,0.6466087999432584,0.551126589583796,779.4944422468682,True,True,64.0,64.0,0.0
better,278222025,278221868,0,0.6685972946548102,0.079414435,0.3677285120601457,0.015882887,0.6128124648575209,0.5239127931697686,418.70560723343505,True,True,73.0,71.0,-2.0
better,278376546,278376562,0,0.7379509142390953,0.07028124,0.40587300283150246,0.014056248,0.7804283372659433,0.6620704872822553,1956.4127952995116,True,True,19.0,20.0,1.0
better,278376560,2402254246,0,0.7640812793405851,0.055301547,0.42024470363732186,0.01106031,0.8089486285469719,0.6833407816308893,60.873322952345276,True,True,8.0,9.0,1.0
better,278376562,2409714565,0,0.7640812793405851,0.05549338,0.42024470363732186,0.011098676,0.7937251167275382,0.6706864940853478,677.5381818850284,True,True,12.0,13.0,1.0
better,279077746,2958627171,0,0.4413258897121085,0.07158003,0.2427292393416597,0.014316007,0.621662997297666,0.5299825027520637,101.02231802297959,True,True,69.0,69.0,0.0
better,1116448608,5178935331,0,0.7344793010919004,0.073000334,0.4039636156005453,0.014600067,0.7751779617030583,0.6581483571197558,37.43681730653824,True,True,24.0,24.0,0.0
better,1116458607,2537806912,0,0.7640812793405851,0.055493683,0.42024470363732186,0.011098737,0.8098652221509999,0.6841366322296515,55.48669365826956,True,True,6.0,7.0,1.0
better,1116458621,1116458636,0,0.4606990210930618,0.03498701,0.253384461601184,0.0069974023,0.6053473348354121,0.510287280706467,942.2314173369512,True,True,74.0,75.0,1.0
better,1116458636,2537806920,0,0.36183231186426107,0.033623,0.1990077715253436,0.0067245997,0.5913970529026509,0.4984347105429173,50.50622434398662,True,True,78.0,80.0,2.0
better,1116458649,1116458621,0,0.6315120485355038,0.038426664,0.3473316266945271,0.007685333,0.665557716378093,0.5610358742695056,490.73140644968566,True,True,63.0,63.0,0.0
better,1117053912,13384556533,0,0.12735856956905334,0.01820311,0.07004721326297934,0.003640622,0.45023549509388133,0.3782300974953665,542.2261879764097,True,True,104.0,104.0,0.0
better,1117053964,1117054200,0,0.12735856956905334,0.018523024,0.07004721326297934,0.003704605,0.4473957548786009,0.3759169664646855,23.631180035159744,True,True,105.0,105.0,0.0
better,1117054015,1117053964,0,0.12735856956905334,0.018338758,0.07004721326297934,0.0036677518,0.45428290492378126,0.38162554718622277,34.644054489858874,True,True,103.0,103.0,0.0
better,1117054200,1117053912,0,0.12735856956905334,0.0184729,0.07004721326297934,0.0036945802,0.4464448683869867,0.37511620709151267,762.5797836677335,True,True,106.0,106.0,0.0
better,1927149696,10074427309,0,0.3455101246933897,0.039115444,0.19003056858136436,0.007823089,0.5532110475149656,0.4675284469000917,111.78636655701064,True,True,87.0,87.0,0.0
better,1927153426,2407726300,0,0.4413258897121085,0.07213323,0.2427292393416597,0.014426646,0.6161419482166502,0.5254738282110073,114.07078402965446,True,True,70.0,70.0,0.0
better,1932007699,278221801,0,0.6685972946548102,0.08312322,0.3677285120601457,0.016624644,0.605043117789574,0.5180564684902194,167.6908827799991,True,True,75.0,74.0,-1.0
better,1932007728,1932007773,0,0.6685972946548102,0.07615885,0.3677285120601457,0.01523177,0.7257757952047095,0.6175063045681106,573.6855713469713,True,True,46.0,47.0,1.0
better,1932007773,1932007699,0,0.6685972946548102,0.07806604,0.3677285120601457,0.0156132085,0.6735628982974831,0.5743134225071921,571.2081825907704,True,True,61.0,61.0,0.0
better,1937723017,10651734179,0,0.8222395569992823,0.07851252,0.45223175634960533,0.015702505,0.7378781784783063,0.6279839019982565,534.8015461182871,False,True,41.0,38.0,-3.0
better,1981097744,1927149696,0,0.3455101246933897,0.03876873,0.19003056858136436,0.007753746,0.4898784731579269,0.4146935161412131,1065.3258346648663,True,True,100.0,100.0,0.0
better,2297481796,9105636736,0,0.8222395569992823,0.07268347,0.45223175634960533,0.014536694,0.8135471572119679,0.6900698757534794,496.89684951929274,True,False,3.0,3.0,0.0
better,2297481839,8349563474,0,0.8577746446851414,0.05934345,0.4717760545768278,0.01186869,0.7395900167895998,0.6262155889532338,43.4457918980816,False,True,39.0,41.0,2.0
better,2297484475,6897212455,0,0.8577746446851414,0.056416932,0.4717760545768278,0.0112833865,0.841020831497016,0.7102535149964214,48.516317857820084,False,True,1.0,1.0,0.0
better,2299600479,2401173527,0,0.8222395569992823,0.06961329,0.45223175634960533,0.013922659,0.7190802605807395,0.6108357659528331,674.9151418994994,True,True,50.0,51.0,1.0
better,2299600559,2297481796,0,0.8222395569992823,0.0703298,0.45223175634960533,0.01406596,0.8074134609443953,0.6845661841616871,610.7745949401399,True,False,9.0,6.0,-3.0
better,2299613353,6366993029,0,0.8577746446851414,0.058225963,0.4717760545768278,0.011645193,0.7925522100744865,0.6701645022728561,90.14602850293,False,True,13.0,14.0,1.0
better,2398034788,2408488757,0,0.7105683587101466,0.09568877,0.39081259729058065,0.019137753,0.7198748838461049,0.615843864493619,217.81544342490488,True,False,48.0,48.0,0.0
better,2398034802,2408476584,0,0.7105683587101466,0.09678242,0.39081259729058065,0.019356485,0.7095405300515859,0.6074141789689634,108.38643935430044,True,False,54.0,52.0,-2.0
better,2398034837,4805962870,0,0.7344793010919004,0.07061245,0.4039636156005453,0.014122491,0.787048008784256,0.6676420828075885,583.4046645073131,False,True,15.0,15.0,0.0
better,2400181211,2400181213,0,0.8222395569992823,0.07103187,0.45223175634960533,0.014206374,0.7091327881819669,0.6027826348946048,103.1906905831883,True,True,55.0,55.0,0.0
better,2400181213,2401173522,0,0.8222395569992823,0.068886,0.45223175634960533,0.013777199,0.7195924907738536,0.6111414084678367,263.436606186377,True,True,49.0,50.0,1.0
better,2401173522,1937723017,0,0.8222395569992823,0.07179089,0.45223175634960533,0.014358178,0.7312099807506762,0.6213067987764844,267.5156360537862,False,True,45.0,45.0,0.0
better,2401173522,11235672142,0,0.8222395569992823,0.07023745,0.45223175634960533,0.01404749,0.7147281324910157,0.6073130187927877,75.70730325152257,True,False,52.0,53.0,1.0
better,2401173527,2401173537,0,0.8222395569992823,0.07394527,0.45223175634960533,0.014789054,0.7189367526945469,0.6114381720768907,429.56428286968986,True,True,51.0,49.0,-2.0
better,2401173537,2400181211,0,0.8222395569992823,0.07293604,0.45223175634960533,0.014587209,0.701616359451001,0.5968363067330462,45.94767976404829,True,True,56.0,57.0,1.0
better,2402254246,6261201167,0,0.7640812793405851,0.05566602,0.42024470363732186,0.011133204,0.8043868953802378,0.6796000825297659,66.18125900256383,True,True,11.0,11.0,0.0
better,2402263661,1116448608,0,0.7344793010919004,0.07183079,0.4039636156005453,0.014366157,0.7839708516351538,0.6652808408233984,52.305931665514116,True,True,18.0,18.0,0.0
