rain_bin,rain_low,rain_high,count,water_mean,water_std,water_p10,water_p50,water_p90
0,0.0,0.1,30403111,0.03512051026415909,0.062708513826232,0.0025,0.0125,0.0975
1,0.1,0.2,5131891,0.06298768735312427,0.08978535451914964,0.0075,0.0275,0.1775
2,0.2,0.30000000000000004,2935792,0.09381453554694193,0.10620535753253356,0.0175,0.0475,0.2525
3,0.30000000000000004,0.4,1989023,0.11161826213233507,0.10550977213278478,0.0275,0.0675,0.2625
4,0.4,0.5,1461260,0.1474955032081064,0.1347596959782838,0.037500000000000006,0.0875,0.3775
5,0.5,0.6000000000000001,1266568,0.1674782643432128,0.1400860954414704,0.042499999999999996,0.1125,0.3825
6,0.6000000000000001,0.7000000000000001,1081734,0.18972594638720164,0.14190602069402333,0.0625,0.1375,0.4225
7,0.7000000000000001,0.8,855664,0.21403418031759722,0.14789105659233492,0.07250000000000001,0.1675,0.4375
8,0.8,0.9,698298,0.23241911913712118,0.15782859498714677,0.07250000000000001,0.1875,0.4825
9,0.9,1.0,2654835,0.2803701991731214,0.13255481138207487,0.1175,0.2675,0.4625
