generator,rain_bin,static_bin,count,water_mean,conditional_water_variance
V1_redundant,0,0,81000,0.009483601388247005,0.00044651715033027677
V1_redundant,0,1,345957,0.019206147693305975,0.0012500666715794444
V1_redundant,0,2,2222556,0.03167358025673276,0.0030390649916528824
V1_redundant,0,3,1791938,0.03368707514277324,0.003589427544731969
V1_redundant,0,4,5693522,0.03836103361398237,0.004585388931398176
V1_redundant,1,0,17901,0.02074297335641061,0.0011733725511684783
V1_redundant,1,1,58751,0.05306335081622808,0.004884635329123634
V1_redundant,1,2,392868,0.060379997325653356,0.007020502728210012
V1_redundant,1,3,297182,0.06272217978488509,0.008112793236355012
V1_redundant,1,4,944046,0.06590714661261621,0.008881222139339107
V1_redundant,2,0,9151,0.03268442782593661,0.0016497216372943252
V1_redundant,2,1,30283,0.08299819742612755,0.006438998994415483
V1_redundant,2,2,227804,0.0890927048891797,0.009666802787969287
V1_redundant,2,3,169743,0.09330463194983106,0.011117226324320835
V1_redundant,2,4,542237,0.09741299730801473,0.012159249082810547
V1_redundant,3,0,8978,0.04022010265839825,0.0022685401464946917
V1_redundant,3,1,24055,0.0976233049579053,0.0066653157912295365
V1_redundant,3,2,150793,0.10865636795730815,0.009247070967528073
V1_redundant,3,3,118436,0.1143427812616222,0.011389732081496195
V1_redundant,3,4,350307,0.1154440113897851,0.012440286487229554
V1_redundant,4,0,5507,0.04928935474907397,0.0023437377835093414
V1_redundant,4,1,17525,0.12316703315978383,0.007953128615831742
V1_redundant,4,2,111109,0.13280221860402383,0.014471877342331591
V1_redundant,4,3,87795,0.1476732215169484,0.017164700136989515
V1_redundant,4,4,263624,0.15134045753611383,0.019587407750662828
V1_redundant,5,0,5969,0.05065781803479049,0.002687973865668548
V1_redundant,5,1,18840,0.14769736133899436,0.010721257962780742
V1_redundant,5,2,112735,0.1691445096368772,0.016607667580085948
V1_redundant,5,3,78102,0.17441623375637869,0.021317163103337967
V1_redundant,5,4,223578,0.17467117252920666,0.021898538083190672
V1_redundant,6,0,4810,0.051047392506307895,0.002622790335861091
V1_redundant,6,1,13437,0.16784032075987837,0.011451890223822734
V1_redundant,6,2,82747,0.18594674904453676,0.016557610319278264
V1_redundant,6,3,62540,0.1966264452337909,0.02132727239564599
V1_redundant,6,4,184693,0.1959948336225586,0.02261887791753176
V1_redundant,7,0,3544,0.06063499946982082,0.0026809532928584088
V1_redundant,7,1,12546,0.1817000117598325,0.010002095673461817
V1_redundant,7,2,62315,0.2035023743223211,0.01698034695066778
V1_redundant,7,3,49573,0.21325857208784071,0.02261638142009728
V1_redundant,7,4,153794,0.21810896581071945,0.023426990967715756
V1_redundant,8,0,3382,0.05651540074949664,0.0030487621069371024
V1_redundant,8,1,9800,0.18649032034360025,0.010927823273920306
V1_redundant,8,2,59425,0.22655541192666542,0.018235039123146883
V1_redundant,8,3,47518,0.24524075798489622,0.026344909011154966
V1_redundant,8,4,132358,0.2368898214918419,0.026112390694815142
V1_redundant,9,0,14846,0.06659169896282423,0.003351301029158875
V1_redundant,9,1,34150,0.227517385437081,0.011069410883720605
V1_redundant,9,2,214512,0.2802483354678001,0.013894838502318249
V1_redundant,9,3,162917,0.2904045236174772,0.017979229598396387
V1_redundant,9,4,448193,0.2880198359848843,0.018442525359158052
V2_local_state,0,0,81000,0.1724647519605171,0.04806122083022989
V2_local_state,0,1,345957,0.1702013693110736,0.03542101632688712
V2_local_state,0,2,2222556,0.11255748819671083,0.014811856776533365
V2_local_state,0,3,1791938,0.0870764849850218,0.008946486362929378
V2_local_state,0,4,5693522,0.07382743454019253,0.006352566183389237
V2_local_state,1,0,17901,0.25134157112717487,0.06214021682772193
V2_local_state,1,1,58751,0.20544296129708925,0.03755053092042243
V2_local_state,1,2,392868,0.15216695647663558,0.020975384183747108
V2_local_state,1,3,297182,0.10963550173122964,0.012234345131875043
V2_local_state,1,4,944046,0.0942453992794631,0.009393978126180206
V2_local_state,2,0,9151,0.3114051999567591,0.06323000887333305
V2_local_state,2,1,30283,0.2672542986838519,0.041948117912694705
V2_local_state,2,2,227804,0.1792849341517278,0.022394090725883768
V2_local_state,2,3,169743,0.1359154559614664,0.012887709796857886
V2_local_state,2,4,542237,0.12124445104037651,0.009926413028491995
V2_local_state,3,0,8978,0.347851084543595,0.04934774664552448
V2_local_state,3,1,24055,0.30800364144755066,0.039074070708431746
V2_local_state,3,2,150793,0.20210564877230605,0.021407448137200004
V2_local_state,3,3,118436,0.15358394260162728,0.01281939225300096
V2_local_state,3,4,350307,0.12906016239554452,0.009946233064071872
V2_local_state,4,0,5507,0.34438449887053835,0.04845725997562522
V2_local_state,4,1,17525,0.3445885775832409,0.04011780516543832
V2_local_state,4,2,111109,0.21505858849808066,0.023797928641219525
V2_local_state,4,3,87795,0.17205433174363113,0.013510264625613382
V2_local_state,4,4,263624,0.14657380619833774,0.010599882832905107
V2_local_state,5,0,5969,0.3359957686467054,0.04231498149247996
V2_local_state,5,1,18840,0.35699483505163476,0.03944933691670641
V2_local_state,5,2,112735,0.2409192202866458,0.023303709337509533
V2_local_state,5,3,78102,0.18693618586462954,0.0133477886342303
V2_local_state,5,4,223578,0.16081020207882946,0.009933778431753103
V2_local_state,6,0,4810,0.3343308389334012,0.03879869477821077
V2_local_state,6,1,13437,0.39712025752364416,0.0377225207528076
V2_local_state,6,2,82747,0.2735184481655846,0.02119483388066057
V2_local_state,6,3,62540,0.20459581286871886,0.010897532777719127
V2_local_state,6,4,184693,0.17282690386737629,0.0075160517225595705
V2_local_state,7,0,3544,0.35978177466070277,0.0322316556182598
V2_local_state,7,1,12546,0.3986005099463858,0.03420494310627889
V2_local_state,7,2,62315,0.2694910467887546,0.020028858094673432
V2_local_state,7,3,49573,0.2055675281048701,0.011075997197371762
V2_local_state,7,4,153794,0.17908157472812483,0.00829505124279864
V2_local_state,8,0,3382,0.38616803939229,0.026454521306318396
V2_local_state,8,1,9800,0.4074722788057157,0.03854567031804021
V2_local_state,8,2,59425,0.2755126903697278,0.019761379901008458
V2_local_state,8,3,47518,0.21764742027621808,0.010846878420759792
V2_local_state,8,4,132358,0.18192691614829373,0.007026920756707314
V2_local_state,9,0,14846,0.40302147569038727,0.017152939358456715
V2_local_state,9,1,34150,0.4497907173633575,0.02443713423487001
V2_local_state,9,2,214512,0.3087448090153844,0.010812591947340605
V2_local_state,9,3,162917,0.23374415103407642,0.005639968122636063
V2_local_state,9,4,448193,0.19956059468617227,0.0037442974511732383
