generator,scenario_family,seed,n,pearson,spearman
V1_redundant,moving_center,9101,1346616,0.23190490512662054,0.243763521131888
V2_local_state,moving_center,9101,1346616,0.17663895010827024,0.20801180033766548
V1_redundant,moving_center,9102,1346616,0.23200779072345495,0.24341842138492523
V2_local_state,moving_center,9102,1346616,0.14915812341043197,0.16363229681631616
V1_redundant,moving_center,9103,1346616,0.23020323324411832,0.2427807609314845
V2_local_state,moving_center,9103,1346616,0.1839545650390084,0.2195381448080981
V1_redundant,moving_center,9104,1346616,0.23274350067281532,0.24339854061839417
V2_local_state,moving_center,9104,1346616,0.19367059811325132,0.21566951191249806
V1_redundant,dual_center,9101,1346616,0.826155909982422,0.8483138370162681
V2_local_state,dual_center,9101,1346616,0.5171089351175698,0.6070972957113869
V1_redundant,dual_center,9102,1346616,0.8254596106548495,0.8484589010905224
V2_local_state,dual_center,9102,1346616,0.46825574017846655,0.5360077554829736
V1_redundant,dual_center,9103,1346616,0.825255567219289,0.8483873607098958
V2_local_state,dual_center,9103,1346616,0.505923626566204,0.6082383494926221
V1_redundant,dual_center,9104,1346616,0.8260039961410837,0.8484487044607965
V2_local_state,dual_center,9104,1346616,0.4998938572518518,0.6002765783891791
V1_redundant,anisotropic_band,9101,1346616,0.5223981960451323,0.6044408525268701
V2_local_state,anisotropic_band,9101,1346616,0.3434558297253453,0.340907305100882
V1_redundant,anisotropic_band,9102,1346616,0.5224492393303446,0.6046185091894121
V2_local_state,anisotropic_band,9102,1346616,0.3243869783951224,0.33191018889330404
V1_redundant,anisotropic_band,9103,1346616,0.5201225834067812,0.6047774218221268
V2_local_state,anisotropic_band,9103,1346616,0.33878484374588247,0.3379643494780695
V1_redundant,anisotropic_band,9104,1346616,0.522046451380696,0.6049242084950581
V2_local_state,anisotropic_band,9104,1346616,0.3425241299264073,0.34173422572776047
