generator,rain_bin,rain_low,rain_high,count,water_mean,water_std,water_p10,water_p50,water_p90
V1_redundant,0,0.0,0.1,10134973,0.03593531477587558,0.0624869354366122,0.005,0.015,0.095
V1_redundant,1,0.1,0.2,1710748,0.06318363663146179,0.09018113847097094,0.005,0.025,0.175
V1_redundant,2,0.2,0.30000000000000004,979218,0.09379310837831822,0.10571544509055944,0.015,0.055,0.255
V1_redundant,3,0.30000000000000004,0.4,652569,0.11199930582053394,0.10607727354664515,0.025,0.065,0.265
V1_redundant,4,0.4,0.5,485560,0.1441722959057583,0.13253994936633473,0.035,0.08499999999999999,0.375
V1_redundant,5,0.5,0.6000000000000001,439224,0.17040551062783454,0.14115820000935494,0.045,0.11499999999999999,0.395
V1_redundant,6,0.6000000000000001,0.7000000000000001,348227,0.19065384074181496,0.14344427003222746,0.055,0.135,0.425
V1_redundant,7,0.7000000000000001,0.8,281772,0.21035844583564017,0.14624691058371894,0.065,0.165,0.435
V1_redundant,8,0.8,0.9,252483,0.23170853087138538,0.1547115151665481,0.07500000000000001,0.185,0.475
V1_redundant,9,0.9,1.0,874618,0.28045506724078395,0.13278428144871554,0.11499999999999999,0.265,0.465
V2_local_state,0,0.0,0.1,10134973,0.08941918098844466,0.10204878954494827,0.005,0.055,0.225
V2_local_state,1,0.1,0.2,1710748,0.11577654920537683,0.12284067695831963,0.005,0.07500000000000001,0.295
V2_local_state,2,0.2,0.30000000000000004,979218,0.14352935709923634,0.12716973620959263,0.015,0.10500000000000001,0.325
V2_local_state,3,0.30000000000000004,0.4,652569,0.15990116753937134,0.1302911171439066,0.025,0.125,0.34500000000000003
V2_local_state,4,0.4,0.5,485560,0.1762536864651125,0.1334613805250391,0.045,0.135,0.365
V2_local_state,5,0.5,0.6000000000000001,439224,0.19677251243101468,0.13504402625357761,0.055,0.165,0.385
V2_local_state,6,0.6000000000000001,0.7000000000000001,348227,0.21332350736732075,0.1274268093991917,0.07500000000000001,0.185,0.385
V2_local_state,7,0.7000000000000001,0.8,281772,0.21578020527234787,0.12642683210801525,0.08499999999999999,0.185,0.385
V2_local_state,8,0.8,0.9,252483,0.22210804291774103,0.12430172083751667,0.08499999999999999,0.20500000000000002,0.385
V2_local_state,9,0.9,1.0,874618,0.24593690045254046,0.10495192188926523,0.135,0.225,0.385
