scenario_family,seed,od_id,decision_step,condition_id,policy,failure_type,difference,stress_case
anisotropic_band,8101,OD01,4.0,C00,main,multisource_worse_than_rain_only,0.02391604122348684,
anisotropic_band,8101,OD01,4.0,C01,main,multisource_worse_than_rain_only,0.02391604122348684,
anisotropic_band,8101,OD01,4.0,C02,main,multisource_worse_than_rain_only,0.02391604122348684,
anisotropic_band,8101,OD01,4.0,C04,main,trusted_worse_than_naive,0.02391604122348684,
anisotropic_band,8101,OD01,4.0,C05,main,multisource_worse_than_rain_only,0.02391604122348684,
anisotropic_band,8101,OD01,4.0,C07,main,trusted_worse_than_naive,0.02391604122348684,
anisotropic_band,8101,OD03,8.0,C00,main,multisource_worse_than_rain_only,0.011529214921595643,
anisotropic_band,8101,OD03,8.0,C01,main,multisource_worse_than_rain_only,0.011529214921595643,
anisotropic_band,8101,OD03,8.0,C02,main,multisource_worse_than_rain_only,0.011529214921595643,
anisotropic_band,8101,OD03,8.0,C03,main,multisource_worse_than_rain_only,0.011529214921595643,
anisotropic_band,8101,OD03,8.0,C04,main,multisource_worse_than_rain_only,0.011529214921595643,
anisotropic_band,8101,OD03,8.0,C05,main,multisource_worse_than_rain_only,0.011529214921595643,
anisotropic_band,8101,OD03,8.0,C06,main,multisource_worse_than_rain_only,0.011529214921595643,
anisotropic_band,8101,OD03,8.0,C07,main,multisource_worse_than_rain_only,0.011529214921595643,
anisotropic_band,8101,OD08,4.0,C00,main,multisource_worse_than_rain_only,0.030703969901266892,
anisotropic_band,8101,OD08,4.0,C01,main,multisource_worse_than_rain_only,0.030703969901266892,
anisotropic_band,8101,OD08,4.0,C02,main,multisource_worse_than_rain_only,0.030703969901266892,
anisotropic_band,8101,OD08,4.0,C03,main,multisource_worse_than_rain_only,0.030703969901266892,
anisotropic_band,8101,OD08,4.0,C04,main,multisource_worse_than_rain_only,0.030703969901266892,
anisotropic_band,8101,OD08,4.0,C05,main,multisource_worse_than_rain_only,0.030703969901266892,
anisotropic_band,8101,OD08,4.0,C06,main,multisource_worse_than_rain_only,0.030703969901266892,
anisotropic_band,8101,OD08,4.0,C07,main,multisource_worse_than_rain_only,0.030703969901266892,
anisotropic_band,8102,OD01,4.0,C00,main,trusted_worse_than_naive,0.02478527483261489,
anisotropic_band,8102,OD01,4.0,C01,main,multisource_worse_than_rain_only,0.02478527483261489,
anisotropic_band,8102,OD01,4.0,C02,main,trusted_worse_than_naive,0.02478527483261489,
anisotropic_band,8102,OD01,4.0,C03,main,trusted_worse_than_naive,0.02478527483261489,
anisotropic_band,8102,OD01,4.0,C04,main,multisource_worse_than_rain_only,0.02478527483261489,
anisotropic_band,8102,OD01,4.0,C05,main,multisource_worse_than_rain_only,0.02478527483261489,
anisotropic_band,8102,OD01,4.0,C06,main,trusted_worse_than_naive,0.02478527483261489,
anisotropic_band,8102,OD01,4.0,C07,main,multisource_worse_than_rain_only,0.02478527483261489,
anisotropic_band,8102,OD03,4.0,C00,main,multisource_worse_than_rain_only,0.012093391420535726,
anisotropic_band,8102,OD03,4.0,C01,main,multisource_worse_than_rain_only,0.012093391420535726,
anisotropic_band,8102,OD03,8.0,C00,main,multisource_worse_than_rain_only,0.011553497596602236,
anisotropic_band,8102,OD03,8.0,C01,main,multisource_worse_than_rain_only,0.011553497596602236,
anisotropic_band,8102,OD03,8.0,C02,main,multisource_worse_than_rain_only,0.011553497596602236,
anisotropic_band,8102,OD03,8.0,C03,main,multisource_worse_than_rain_only,0.011553497596602236,
anisotropic_band,8102,OD03,8.0,C04,main,multisource_worse_than_rain_only,0.011553497596602236,
anisotropic_band,8102,OD03,8.0,C05,main,multisource_worse_than_rain_only,0.011553497596602236,
anisotropic_band,8102,OD03,8.0,C06,main,multisource_worse_than_rain_only,0.011553497596602236,
anisotropic_band,8102,OD03,8.0,C07,main,multisource_worse_than_rain_only,0.011553497596602236,
anisotropic_band,8102,OD04,4.0,C00,main,multisource_worse_than_rain_only,0.01056981107083832,
anisotropic_band,8102,OD04,4.0,C01,main,multisource_worse_than_rain_only,0.01056981107083832,
anisotropic_band,8102,OD04,4.0,C02,main,trusted_worse_than_naive,0.01056981107083832,
anisotropic_band,8102,OD04,4.0,C03,main,multisource_worse_than_rain_only,0.01056981107083832,
anisotropic_band,8102,OD04,4.0,C04,main,multisource_worse_than_rain_only,0.01056981107083832,
anisotropic_band,8102,OD04,4.0,C05,main,multisource_worse_than_rain_only,0.01056981107083832,
anisotropic_band,8102,OD04,4.0,C06,main,trusted_worse_than_naive,0.01056981107083832,
anisotropic_band,8103,OD01,4.0,C00,main,multisource_worse_than_rain_only,0.024365035437814042,
anisotropic_band,8103,OD01,4.0,C01,main,trusted_worse_than_naive,0.024365035437814042,
anisotropic_band,8103,OD01,4.0,C02,main,trusted_worse_than_naive,0.024365035437814042,
anisotropic_band,8103,OD01,4.0,C04,main,multisource_worse_than_rain_only,0.024365035437814042,
anisotropic_band,8103,OD01,4.0,C05,main,multisource_worse_than_rain_only,0.024365035437814042,
anisotropic_band,8103,OD01,4.0,C07,main,trusted_worse_than_naive,0.024365035437814042,
anisotropic_band,8103,OD03,8.0,C00,main,multisource_worse_than_rain_only,0.011526395112587462,
anisotropic_band,8103,OD03,8.0,C01,main,multisource_worse_than_rain_only,0.011526395112587462,
anisotropic_band,8103,OD03,8.0,C02,main,multisource_worse_than_rain_only,0.011526395112587462,
anisotropic_band,8103,OD03,8.0,C03,main,multisource_worse_than_rain_only,0.011526395112587462,
anisotropic_band,8103,OD03,8.0,C04,main,multisource_worse_than_rain_only,0.011526395112587462,
anisotropic_band,8103,OD03,8.0,C05,main,multisource_worse_than_rain_only,0.011526395112587462,
anisotropic_band,8103,OD03,8.0,C06,main,multisource_worse_than_rain_only,0.011526395112587462,
anisotropic_band,8103,OD03,8.0,C07,main,multisource_worse_than_rain_only,0.011526395112587462,
anisotropic_band,8104,OD01,4.0,C00,main,trusted_worse_than_naive,0.024875713125455667,
anisotropic_band,8104,OD01,4.0,C01,main,trusted_worse_than_naive,0.024875713125455667,
anisotropic_band,8104,OD01,4.0,C02,main,trusted_worse_than_naive,0.024875713125455667,
anisotropic_band,8104,OD01,4.0,C03,main,trusted_worse_than_naive,0.024875713125455667,
anisotropic_band,8104,OD01,4.0,C04,main,multisource_worse_than_rain_only,0.024875713125455667,
anisotropic_band,8104,OD01,4.0,C05,main,multisource_worse_than_rain_only,0.024875713125455667,
anisotropic_band,8104,OD01,4.0,C06,main,trusted_worse_than_naive,0.024875713125455667,
anisotropic_band,8104,OD01,4.0,C07,main,trusted_worse_than_naive,0.024875713125455667,
anisotropic_band,8104,OD03,4.0,C01,main,multisource_worse_than_rain_only,0.012076164619674035,
anisotropic_band,8104,OD03,8.0,C00,main,multisource_worse_than_rain_only,0.011541677400226102,
anisotropic_band,8104,OD03,8.0,C01,main,multisource_worse_than_rain_only,0.011541677400226102,
anisotropic_band,8104,OD03,8.0,C02,main,multisource_worse_than_rain_only,0.011541677400226102,
anisotropic_band,8104,OD03,8.0,C03,main,multisource_worse_than_rain_only,0.011541677400226102,
anisotropic_band,8104,OD03,8.0,C04,main,multisource_worse_than_rain_only,0.011541677400226102,
anisotropic_band,8104,OD03,8.0,C05,main,multisource_worse_than_rain_only,0.011541677400226102,
anisotropic_band,8104,OD03,8.0,C06,main,multisource_worse_than_rain_only,0.011541677400226102,
anisotropic_band,8104,OD03,8.0,C07,main,multisource_worse_than_rain_only,0.011541677400226102,
anisotropic_band,8105,OD01,4.0,C00,main,multisource_worse_than_rain_only,0.024452824855771105,
anisotropic_band,8105,OD01,4.0,C01,main,multisource_worse_than_rain_only,0.024452824855771105,
anisotropic_band,8105,OD01,4.0,C02,main,multisource_worse_than_rain_only,0.024452824855771105,
anisotropic_band,8105,OD01,4.0,C03,main,trusted_worse_than_naive,0.024452824855771105,
anisotropic_band,8105,OD01,4.0,C04,main,multisource_worse_than_rain_only,0.024452824855771105,
anisotropic_band,8105,OD01,4.0,C05,main,multisource_worse_than_rain_only,0.024452824855771105,
anisotropic_band,8105,OD01,4.0,C07,main,multisource_worse_than_rain_only,0.024452824855771105,
anisotropic_band,8105,OD03,8.0,C00,main,multisource_worse_than_rain_only,0.011530131187882375,
anisotropic_band,8105,OD03,8.0,C01,main,multisource_worse_than_rain_only,0.011530131187882375,
anisotropic_band,8105,OD03,8.0,C02,main,multisource_worse_than_rain_only,0.011530131187882375,
anisotropic_band,8105,OD03,8.0,C03,main,multisource_worse_than_rain_only,0.011530131187882375,
anisotropic_band,8105,OD03,8.0,C04,main,multisource_worse_than_rain_only,0.011530131187882375,
anisotropic_band,8105,OD03,8.0,C05,main,multisource_worse_than_rain_only,0.011530131187882375,
anisotropic_band,8105,OD03,8.0,C06,main,multisource_worse_than_rain_only,0.011530131187882375,
anisotropic_band,8105,OD03,8.0,C07,main,multisource_worse_than_rain_only,0.011530131187882375,
anisotropic_band,8105,OD04,4.0,C00,main,multisource_worse_than_rain_only,0.010343879543067758,
anisotropic_band,8105,OD04,4.0,C01,main,multisource_worse_than_rain_only,0.010343879543067758,
anisotropic_band,8105,OD04,4.0,C02,main,multisource_worse_than_rain_only,0.010343879543067758,
anisotropic_band,8105,OD04,4.0,C03,main,multisource_worse_than_rain_only,0.010343879543067758,
anisotropic_band,8105,OD04,4.0,C04,main,multisource_worse_than_rain_only,0.010343879543067758,
anisotropic_band,8105,OD04,4.0,C05,main,multisource_worse_than_rain_only,0.010343879543067758,
anisotropic_band,8106,OD01,4.0,C00,main,trusted_worse_than_naive,0.026764848190898805,
anisotropic_band,8106,OD01,4.0,C01,main,trusted_worse_than_naive,0.026764848190898805,
anisotropic_band,8106,OD01,4.0,C02,main,trusted_worse_than_naive,0.026764848190898805,
anisotropic_band,8106,OD01,4.0,C03,main,trusted_worse_than_naive,0.026764848190898805,
anisotropic_band,8106,OD01,4.0,C04,main,trusted_worse_than_naive,0.026764848190898805,
anisotropic_band,8106,OD01,4.0,C05,main,trusted_worse_than_naive,0.026764848190898805,
anisotropic_band,8106,OD01,4.0,C06,main,trusted_worse_than_naive,0.026764848190898805,
anisotropic_band,8106,OD01,4.0,C07,main,trusted_worse_than_naive,0.026764848190898805,
anisotropic_band,8106,OD03,8.0,C00,main,multisource_worse_than_rain_only,0.011618923445259388,
anisotropic_band,8106,OD03,8.0,C01,main,multisource_worse_than_rain_only,0.011618923445259388,
anisotropic_band,8106,OD03,8.0,C02,main,multisource_worse_than_rain_only,0.011618923445259388,
anisotropic_band,8106,OD03,8.0,C03,main,multisource_worse_than_rain_only,0.011618923445259388,
anisotropic_band,8106,OD03,8.0,C04,main,multisource_worse_than_rain_only,0.011618923445259388,
anisotropic_band,8106,OD03,8.0,C05,main,multisource_worse_than_rain_only,0.011618923445259388,
anisotropic_band,8106,OD03,8.0,C06,main,multisource_worse_than_rain_only,0.011618923445259388,
anisotropic_band,8106,OD03,8.0,C07,main,multisource_worse_than_rain_only,0.011618923445259388,
anisotropic_band,8107,OD01,4.0,C00,main,multisource_worse_than_rain_only,0.023350672740345302,
anisotropic_band,8107,OD01,4.0,C01,main,multisource_worse_than_rain_only,0.023350672740345302,
anisotropic_band,8107,OD01,4.0,C02,main,multisource_worse_than_rain_only,0.023350672740345302,
anisotropic_band,8107,OD01,4.0,C03,main,trusted_worse_than_naive,0.023350672740345302,
anisotropic_band,8107,OD01,4.0,C04,main,trusted_worse_than_naive,0.023350672740345302,
anisotropic_band,8107,OD01,4.0,C05,main,multisource_worse_than_rain_only,0.023350672740345302,
anisotropic_band,8107,OD01,4.0,C07,main,multisource_worse_than_rain_only,0.023350672740345302,
anisotropic_band,8107,OD03,4.0,C01,main,multisource_worse_than_rain_only,0.012088082775201514,
anisotropic_band,8107,OD03,8.0,C00,main,multisource_worse_than_rain_only,0.011553242046599244,
anisotropic_band,8107,OD03,8.0,C01,main,multisource_worse_than_rain_only,0.011553242046599244,
anisotropic_band,8107,OD03,8.0,C02,main,multisource_worse_than_rain_only,0.011553242046599244,
anisotropic_band,8107,OD03,8.0,C03,main,multisource_worse_than_rain_only,0.011553242046599244,
anisotropic_band,8107,OD03,8.0,C04,main,multisource_worse_than_rain_only,0.011553242046599244,
anisotropic_band,8107,OD03,8.0,C05,main,multisource_worse_than_rain_only,0.011553242046599244,
anisotropic_band,8107,OD03,8.0,C06,main,multisource_worse_than_rain_only,0.011553242046599244,
anisotropic_band,8107,OD03,8.0,C07,main,multisource_worse_than_rain_only,0.011553242046599244,
anisotropic_band,8107,OD04,4.0,C00,main,multisource_worse_than_rain_only,0.010355686721789159,
anisotropic_band,8107,OD04,4.0,C01,main,multisource_worse_than_rain_only,0.010355686721789159,
anisotropic_band,8107,OD04,4.0,C02,main,multisource_worse_than_rain_only,0.010355686721789159,
anisotropic_band,8107,OD04,4.0,C03,main,trusted_worse_than_naive,0.010355686721789159,
anisotropic_band,8107,OD04,4.0,C04,main,multisource_worse_than_rain_only,0.010355686721789159,
anisotropic_band,8107,OD04,4.0,C05,main,multisource_worse_than_rain_only,0.010355686721789159,
anisotropic_band,8108,OD01,4.0,C00,main,multisource_worse_than_rain_only,0.02427689626184998,
anisotropic_band,8108,OD01,4.0,C01,main,multisource_worse_than_rain_only,0.02427689626184998,
anisotropic_band,8108,OD01,4.0,C02,main,trusted_worse_than_naive,0.02427689626184998,
anisotropic_band,8108,OD01,4.0,C03,main,trusted_worse_than_naive,0.02427689626184998,
anisotropic_band,8108,OD01,4.0,C04,main,multisource_worse_than_rain_only,0.02427689626184998,
anisotropic_band,8108,OD01,4.0,C05,main,multisource_worse_than_rain_only,0.02427689626184998,
anisotropic_band,8108,OD01,4.0,C06,main,trusted_worse_than_naive,0.02427689626184998,
anisotropic_band,8108,OD01,4.0,C07,main,multisource_worse_than_rain_only,0.02427689626184998,
anisotropic_band,8108,OD03,8.0,C00,main,multisource_worse_than_rain_only,0.011540022673420969,
anisotropic_band,8108,OD03,8.0,C01,main,multisource_worse_than_rain_only,0.011540022673420969,
anisotropic_band,8108,OD03,8.0,C02,main,multisource_worse_than_rain_only,0.011540022673420969,
anisotropic_band,8108,OD03,8.0,C03,main,multisource_worse_than_rain_only,0.011540022673420969,
anisotropic_band,8108,OD03,8.0,C04,main,multisource_worse_than_rain_only,0.011540022673420969,
anisotropic_band,8108,OD03,8.0,C05,main,multisource_worse_than_rain_only,0.011540022673420969,
anisotropic_band,8108,OD03,8.0,C06,main,multisource_worse_than_rain_only,0.011540022673420969,
anisotropic_band,8108,OD03,8.0,C07,main,multisource_worse_than_rain_only,0.011540022673420969,
anisotropic_band,8109,OD01,4.0,C00,main,trusted_worse_than_naive,0.024908392945279467,
anisotropic_band,8109,OD01,4.0,C01,main,trusted_worse_than_naive,0.024908392945279467,
anisotropic_band,8109,OD01,4.0,C02,main,trusted_worse_than_naive,0.024908392945279467,
anisotropic_band,8109,OD01,4.0,C04,main,multisource_worse_than_rain_only,0.024908392945279467,
anisotropic_band,8109,OD01,4.0,C05,main,multisource_worse_than_rain_only,0.024908392945279467,
anisotropic_band,8109,OD01,4.0,C07,main,trusted_worse_than_naive,0.024908392945279467,
anisotropic_band,8109,OD03,8.0,C00,main,multisource_worse_than_rain_only,0.011582718264812997,
anisotropic_band,8109,OD03,8.0,C01,main,multisource_worse_than_rain_only,0.011582718264812997,
anisotropic_band,8109,OD03,8.0,C02,main,multisource_worse_than_rain_only,0.011582718264812997,
anisotropic_band,8109,OD03,8.0,C03,main,multisource_worse_than_rain_only,0.011582718264812997,
anisotropic_band,8109,OD03,8.0,C04,main,multisource_worse_than_rain_only,0.011582718264812997,
anisotropic_band,8109,OD03,8.0,C05,main,multisource_worse_than_rain_only,0.011582718264812997,
anisotropic_band,8109,OD03,8.0,C06,main,multisource_worse_than_rain_only,0.011582718264812997,
anisotropic_band,8109,OD03,8.0,C07,main,multisource_worse_than_rain_only,0.011582718264812997,
anisotropic_band,8110,OD01,4.0,C00,main,trusted_worse_than_naive,0.025713823024768823,
anisotropic_band,8110,OD01,4.0,C01,main,trusted_worse_than_naive,0.025713823024768823,
anisotropic_band,8110,OD01,4.0,C02,main,trusted_worse_than_naive,0.025713823024768823,
anisotropic_band,8110,OD01,4.0,C03,main,trusted_worse_than_naive,0.025713823024768823,
anisotropic_band,8110,OD01,4.0,C04,main,trusted_worse_than_naive,0.025713823024768823,
anisotropic_band,8110,OD01,4.0,C05,main,trusted_worse_than_naive,0.025713823024768823,
anisotropic_band,8110,OD01,4.0,C06,main,trusted_worse_than_naive,0.025713823024768823,
anisotropic_band,8110,OD01,4.0,C07,main,trusted_worse_than_naive,0.025713823024768823,
anisotropic_band,8110,OD03,8.0,C00,main,multisource_worse_than_rain_only,0.011535024593136711,
anisotropic_band,8110,OD03,8.0,C01,main,multisource_worse_than_rain_only,0.011535024593136711,
anisotropic_band,8110,OD03,8.0,C02,main,multisource_worse_than_rain_only,0.011535024593136711,
anisotropic_band,8110,OD03,8.0,C03,main,multisource_worse_than_rain_only,0.011535024593136711,
anisotropic_band,8110,OD03,8.0,C04,main,multisource_worse_than_rain_only,0.011535024593136711,
anisotropic_band,8110,OD03,8.0,C05,main,multisource_worse_than_rain_only,0.011535024593136711,
anisotropic_band,8110,OD03,8.0,C06,main,multisource_worse_than_rain_only,0.011535024593136711,
anisotropic_band,8110,OD03,8.0,C07,main,multisource_worse_than_rain_only,0.011535024593136711,
anisotropic_band,8110,OD04,4.0,C01,main,multisource_worse_than_rain_only,0.010863889868997167,
