scenario_family,seed,comparison,mean_difference
anisotropic_band,8101,perfect_water-reference_minus-rain,0.002055639492923589
anisotropic_band,8101,naive_async-minus-rain,0.004707592142813133
anisotropic_band,8101,uncertainty-minus-naive,0.0008710485701248216
anisotropic_band,8101,universal_tau-minus-uncertainty,6.362939490295316e-05
anisotropic_band,8101,source_specific-minus-universal,-3.591103797362383e-05
anisotropic_band,8101,source_specific-minus-rain,0.005606359069867284
anisotropic_band,8102,perfect_water-reference_minus-rain,2.5956467398446925e-05
anisotropic_band,8102,naive_async-minus-rain,0.0028324823135906785
anisotropic_band,8102,uncertainty-minus-naive,0.0012717830271011255
anisotropic_band,8102,universal_tau-minus-uncertainty,0.00025201111044365065
anisotropic_band,8102,source_specific-minus-universal,-9.95416875674282e-05
anisotropic_band,8102,source_specific-minus-rain,0.004256734763568026
anisotropic_band,8103,perfect_water-reference_minus-rain,0.00045365647791401065
anisotropic_band,8103,naive_async-minus-rain,0.002467364857999421
anisotropic_band,8103,uncertainty-minus-naive,0.000920440004448686
anisotropic_band,8103,universal_tau-minus-uncertainty,0.0002495452198592596
anisotropic_band,8103,source_specific-minus-universal,-1.1793275969174122e-05
anisotropic_band,8103,source_specific-minus-rain,0.0036255568063381927
anisotropic_band,8104,perfect_water-reference_minus-rain,0.0010397264605028211
anisotropic_band,8104,naive_async-minus-rain,0.002952556573891596
anisotropic_band,8104,uncertainty-minus-naive,0.0013723216643574676
anisotropic_band,8104,universal_tau-minus-uncertainty,0.00025584970293224263
anisotropic_band,8104,source_specific-minus-universal,4.6303756706611576e-05
anisotropic_band,8104,source_specific-minus-rain,0.004627031697887918
anisotropic_band,8105,perfect_water-reference_minus-rain,2.6114783145292364e-05
anisotropic_band,8105,naive_async-minus-rain,0.0032064621134544335
anisotropic_band,8105,uncertainty-minus-naive,0.0007563053075098081
anisotropic_band,8105,universal_tau-minus-uncertainty,3.399846825730135e-05
anisotropic_band,8105,source_specific-minus-universal,-7.265614439849744e-05
anisotropic_band,8105,source_specific-minus-rain,0.0039241097448230455
anisotropic_band,8106,perfect_water-reference_minus-rain,2.5877220732162254e-05
anisotropic_band,8106,naive_async-minus-rain,0.001841487996372071
anisotropic_band,8106,uncertainty-minus-naive,0.002291312011876434
anisotropic_band,8106,universal_tau-minus-uncertainty,-2.6846585121975686e-05
anisotropic_band,8106,source_specific-minus-universal,-2.5517824061960237e-05
anisotropic_band,8106,source_specific-minus-rain,0.004080435599064569
anisotropic_band,8107,perfect_water-reference_minus-rain,0.0004538200916460178
anisotropic_band,8107,naive_async-minus-rain,0.0029237322380419872
anisotropic_band,8107,uncertainty-minus-naive,0.0010709987556506984
anisotropic_band,8107,universal_tau-minus-uncertainty,1.7818950711623316e-05
anisotropic_band,8107,source_specific-minus-universal,-5.9283385101305264e-05
anisotropic_band,8107,source_specific-minus-rain,0.003953266559303004
anisotropic_band,8108,perfect_water-reference_minus-rain,0.00045533831802441194
anisotropic_band,8108,naive_async-minus-rain,0.002652040243737719
anisotropic_band,8108,uncertainty-minus-naive,0.0015918561713841872
anisotropic_band,8108,universal_tau-minus-uncertainty,7.340832026153654e-05
anisotropic_band,8108,source_specific-minus-universal,-4.631777615388133e-05
anisotropic_band,8108,source_specific-minus-rain,0.004270986959229561
anisotropic_band,8109,perfect_water-reference_minus-rain,2.6038254330063015e-05
anisotropic_band,8109,naive_async-minus-rain,0.0021202602025557904
anisotropic_band,8109,uncertainty-minus-naive,0.0011837386264779148
anisotropic_band,8109,universal_tau-minus-uncertainty,0.00034717930353767024
anisotropic_band,8109,source_specific-minus-universal,5.3538105108608125e-05
anisotropic_band,8109,source_specific-minus-rain,0.0037047162376799836
anisotropic_band,8110,perfect_water-reference_minus-rain,0.0004572156239003866
anisotropic_band,8110,naive_async-minus-rain,0.0019277516391854599
anisotropic_band,8110,uncertainty-minus-naive,0.0023885984928802007
anisotropic_band,8110,universal_tau-minus-uncertainty,9.141336680057455e-05
anisotropic_band,8110,source_specific-minus-universal,-5.9568168153834034e-05
anisotropic_band,8110,source_specific-minus-rain,0.004348195330712401
anisotropic_band,8111,perfect_water-reference_minus-rain,2.586336769760944e-05
anisotropic_band,8111,naive_async-minus-rain,0.0019604488448273227
anisotropic_band,8111,uncertainty-minus-naive,0.0020759852594002814
anisotropic_band,8111,universal_tau-minus-uncertainty,4.579158696405017e-05
anisotropic_band,8111,source_specific-minus-universal,1.1803905255736158e-05
