scenario_family,seed,decision_step,timestamp,condition_id,delay_min,missing_rate,noise_sigma,observation_seed,observation_digest,eligible_records,available_records,mapped_edge_coverage_mean
moving_center,8101,4,2023-09-07 13:00:00+08:00,C00,0,0.0,0.0,2168444023,225260ebec4071639ad32e8680f8a7548e875bc49b9c115db0e479c9d5fa8e7b,304,304,0.11844642266625083
moving_center,8101,4,2023-09-07 13:00:00+08:00,C01,10,0.2,0.05,400371017,dd778d473276d7c7558c2e52230e70e25de92e648d00b51679dc4b9906c94216,252,212,0.11844642266625083
moving_center,8101,4,2023-09-07 13:00:00+08:00,C02,30,0.5,0.15,10210070,452d9f7e7123a019a096e4e4a72f30d10afbb61ed3b95b48784ec12411cf4a5a,148,76,0.11051959472474976
moving_center,8101,4,2023-09-07 13:00:00+08:00,C03,60,0.2,0.15,330057857,2e7c1c92a717472c26a0972402978c57ec82e0c6d7e36f4f5982334d714bcb90,237,13,0.026429286723308056
moving_center,8101,4,2023-09-07 13:00:00+08:00,C04,10,0.5,0.0,625215099,7446a54bd088c4bd200290171804ed9a9d36661b35eb242462521fd84c8deb7d,152,127,0.11844642266625083
moving_center,8101,4,2023-09-07 13:00:00+08:00,C05,30,0.0,0.05,704045215,a78917971c123ce0cb378b322ec51a8c5b7def6f46361c0d64595de05a78874a,304,160,0.11844642266625083
moving_center,8101,4,2023-09-07 13:00:00+08:00,C06,60,0.5,0.05,2303738369,fef01f76328b15f2a8594131ff24ac529873898d6d848f03b3fbab32dd83dace,145,11,0.021729865594807662
moving_center,8101,4,2023-09-07 13:00:00+08:00,C07,0,0.2,0.15,1320872880,bb4cbeeec5719e3fac0e2b8498bb5941ab53c1d89323c69366b4c9e8adc2d72f,232,232,0.11844642266625083
moving_center,8101,8,2023-09-07 14:00:00+08:00,C00,0,0.0,0.0,216327799,d460032beee6f40398644532d24ca635d3667685f79060c636afebc21ae43603,592,592,0.11844642266625083
moving_center,8101,8,2023-09-07 14:00:00+08:00,C01,10,0.2,0.05,3926574785,9bfb4271a99af9d1f271b4354b8e8ebb55de0974f3cd3f7f633d8d969612fc74,470,429,0.11844642266625083
moving_center,8101,8,2023-09-07 14:00:00+08:00,C02,30,0.5,0.15,4126313696,51f6d9eda9ce18f5571dcbd8bc6f0a03b90d4f1d78d230515fceaae093f7470a,296,234,0.11844642266625083
moving_center,8101,8,2023-09-07 14:00:00+08:00,C03,60,0.2,0.15,2899540763,5424dce4c064227dcc1a2b89eea9084c5a131d5d2d400fc47a8f822e50d01d35,464,244,0.11844642266625083
moving_center,8101,8,2023-09-07 14:00:00+08:00,C04,10,0.5,0.0,3016530421,40e9fb0d1f7b73ccd53166eec7ff2506c0e4ee671376372467efda6721bff5fa,299,275,0.11844642266625083
moving_center,8101,8,2023-09-07 14:00:00+08:00,C05,30,0.0,0.05,3055891302,2c6442e6870a983455a42f6d493c4b3d1e064d09e4942653c3e6882209583585,592,448,0.11844642266625083
moving_center,8101,8,2023-09-07 14:00:00+08:00,C06,60,0.5,0.05,400346188,4b8c12ef06fcb1aae7a10d5116c0e6ff492ccd7b8e6651ad00f43f62c95c743b,278,128,0.11844642266625083
moving_center,8101,8,2023-09-07 14:00:00+08:00,C07,0,0.2,0.15,3143093992,5a487ab45a2777f4fd2bf80042454392244966b271b501205bd07935fe9498df,502,502,0.11844642266625083
moving_center,8102,4,2023-09-07 13:00:00+08:00,C00,0,0.0,0.0,903091697,fe1f9816e74fb0e67095f5ce4c50c1bbfe77aedb60c9108eb4cf2f5b13fb469d,304,304,0.11844642266625083
moving_center,8102,4,2023-09-07 13:00:00+08:00,C01,10,0.2,0.05,2283709836,aa73c196529db10b6c5803693e3eefe3fff72cc97d4be98374b76c7d8198d2d0,236,201,0.11844642266625083
moving_center,8102,4,2023-09-07 13:00:00+08:00,C02,30,0.5,0.15,1600190543,63860e0b83dd7a3a2075ab2a6f033e7f982d94e92e93e12ba8e1dfef8ea5c834,146,73,0.09738549416355043
moving_center,8102,4,2023-09-07 13:00:00+08:00,C03,60,0.2,0.15,248243608,30ddb7af0294219a4f78691dfd97e4894131a5af91104fc29d53ee5c65e3d653,259,14,0.03392094697732435
moving_center,8102,4,2023-09-07 13:00:00+08:00,C04,10,0.5,0.0,1768283555,b04bea258be3433f379b19dd7e22f0499ef9f6d2e9029977a41b2dd507965dbe,137,114,0.11645237355218963
moving_center,8102,4,2023-09-07 13:00:00+08:00,C05,30,0.0,0.05,2493759207,57363b7ba381d125b51dc4656595e7ed37df75d6ac8302651683b06aa684c1e6,304,160,0.11844642266625083
moving_center,8102,4,2023-09-07 13:00:00+08:00,C06,60,0.5,0.05,303064787,96478dda15ea6b1de9941ad006c7eae8bd897d8771442069888b7d03fc47ef3a,161,9,0.02656916525908452
moving_center,8102,4,2023-09-07 13:00:00+08:00,C07,0,0.2,0.15,1514524843,feb4faf8736a17a7ec0230a42d1e59b821ab97599453b79bd577981fec4df8f8,248,248,0.11844642266625083
moving_center,8102,8,2023-09-07 14:00:00+08:00,C00,0,0.0,0.0,1726647350,04cd1ac953ba8c1bfdbaba7cfca5e872445d07f865b66b5b4c23e1c516cb70d8,592,592,0.11844642266625083
moving_center,8102,8,2023-09-07 14:00:00+08:00,C01,10,0.2,0.05,2388035810,73a95790cff30500a0fb707ab8982c0a483239df19538361bfe021234bb8ba4b,479,441,0.11844642266625083
moving_center,8102,8,2023-09-07 14:00:00+08:00,C02,30,0.5,0.15,4216428332,5c32e3c53d53f3c9bc5d456b3a01df166ca182bd07cd37ed53c0ad04ffcfe3ba,293,227,0.11844642266625083
moving_center,8102,8,2023-09-07 14:00:00+08:00,C03,60,0.2,0.15,4285242454,5b25d13391492f9e79e505452827366f7cc3cfc0fd9d20dfacd3bc26fc23786a,489,258,0.11844642266625083
moving_center,8102,8,2023-09-07 14:00:00+08:00,C04,10,0.5,0.0,2302516697,7bd0da179110b3a42f8bdc4ad2e1cb550cb471cc790e16249b39e26e81c5d435,288,267,0.11844642266625083
moving_center,8102,8,2023-09-07 14:00:00+08:00,C05,30,0.0,0.05,3623346004,76afd88fa2530a754568df161f275c9f250f5dc8c3514feab93049cec092b06e,592,448,0.11844642266625083
moving_center,8102,8,2023-09-07 14:00:00+08:00,C06,60,0.5,0.05,1633374273,9078ee199014ffd8ce0c4be58dfbd17abcfe9f272a2657a8bbcea8f242afcf8c,302,147,0.11752069350895152
moving_center,8102,8,2023-09-07 14:00:00+08:00,C07,0,0.2,0.15,2895405454,4036bd0ec7cf577347bedb92a240065cfb2729c06890bde881f4e7d7ec94877b,479,479,0.11844642266625083
moving_center,8103,4,2023-09-07 13:00:00+08:00,C00,0,0.0,0.0,927488916,40d3e1e68b804d488362167291c7037f93bdfbb1d6fd8f40cdba0c5ac863ca6d,304,304,0.11844642266625083
moving_center,8103,4,2023-09-07 13:00:00+08:00,C01,10,0.2,0.05,4161427785,167ca8f27c5bf97ae02b6785d821cda5795c6b1952dec43d6bed97e1a75549a8,232,197,0.11844642266625083
