scenario_family,seed,stress_case,od_id,policy,mean_truth_exposure,mean_rain_only_truth_exposure,final_replan_count,final_route_change_count,planner_calls,total_computation_ms,missed_useful_replan,stale_source_induced_bad_route,unnecessary_replan,route_oscillation
moving_center,8101,rain_down_water_high,OD01,never,0.37297809881609384,0.3531080787826311,0,0,1,269.9265000410378,False,False,False,False
moving_center,8101,rain_down_water_high,OD01,always,0.3711202136718212,0.3531080787826311,11,6,12,738.8336998410523,False,False,True,False
moving_center,8101,rain_down_water_high,OD01,triggered,0.39603308331205805,0.3531080787826311,1,1,2,310.55249995552003,True,False,False,False
moving_center,8101,rain_down_water_high,OD02,never,0.34585037456942463,0.34292935852061834,0,0,1,231.39619978610426,False,False,False,False
moving_center,8101,rain_down_water_high,OD02,always,0.3430981784736485,0.34292935852061834,11,2,12,437.0432998985052,False,False,True,True
moving_center,8101,rain_down_water_high,OD02,triggered,0.34585037456942463,0.34292935852061834,0,0,1,230.31839972827584,False,False,False,False
moving_center,8101,water_delay,OD01,never,0.37297809881609384,0.3531080787826311,0,0,1,269.1452003782615,False,False,False,False
moving_center,8101,water_delay,OD01,always,0.3668964354752218,0.3531080787826311,11,6,12,728.2609002431855,False,False,True,False
moving_center,8101,water_delay,OD01,triggered,0.39603308331205805,0.3531080787826311,1,1,2,307.9296000069007,True,False,False,False
moving_center,8101,water_delay,OD02,never,0.34585037456942463,0.34292935852061834,0,0,1,249.18049992993474,False,False,False,False
moving_center,8101,water_delay,OD02,always,0.34585037456942463,0.34292935852061834,11,0,12,457.9578001284972,False,False,False,False
moving_center,8101,water_delay,OD02,triggered,0.34585037456942463,0.34292935852061834,0,0,1,247.6678000530228,False,False,False,False
moving_center,8101,water_block_missing,OD01,never,0.37297809881609384,0.3531080787826311,0,0,1,266.8794997734949,False,False,False,False
moving_center,8101,water_block_missing,OD01,always,0.3711202136718212,0.3531080787826311,11,6,12,742.3321994720027,False,False,True,False
moving_center,8101,water_block_missing,OD01,triggered,0.39603308331205805,0.3531080787826311,1,1,2,304.86489995382726,True,False,False,False
moving_center,8101,water_block_missing,OD02,never,0.34585037456942463,0.34292935852061834,0,0,1,256.9975000806153,False,False,False,False
moving_center,8101,water_block_missing,OD02,always,0.3430981784736485,0.34292935852061834,11,2,12,469.9651999399066,False,False,True,True
moving_center,8101,water_block_missing,OD02,triggered,0.34585037456942463,0.34292935852061834,0,0,1,258.05990025401115,False,False,False,False
moving_center,8101,water_recovery,OD01,never,0.37297809881609384,0.3531080787826311,0,0,1,267.529200646095,False,False,False,False
moving_center,8101,water_recovery,OD01,always,0.3711202136718212,0.3531080787826311,11,6,12,735.6050002854317,False,False,True,False
moving_center,8101,water_recovery,OD01,triggered,0.39603308331205805,0.3531080787826311,1,1,2,307.11370008066297,True,False,False,False
moving_center,8101,water_recovery,OD02,never,0.34585037456942463,0.34292935852061834,0,0,1,242.71010025404394,False,False,False,False
moving_center,8101,water_recovery,OD02,always,0.3430981784736485,0.34292935852061834,11,2,12,451.58320025075227,False,False,True,True
moving_center,8101,water_recovery,OD02,triggered,0.34585037456942463,0.34292935852061834,0,0,1,242.94600042048842,False,False,False,False
moving_center,8101,water_stale_rain_fresh,OD01,never,0.37297809881609384,0.3531080787826311,0,0,1,277.3831997765228,False,False,False,False
moving_center,8101,water_stale_rain_fresh,OD01,always,0.38217092789865664,0.3531080787826311,11,5,12,744.9891999131069,False,False,True,False
moving_center,8101,water_stale_rain_fresh,OD01,triggered,0.39603308331205805,0.3531080787826311,1,1,2,312.91069998405874,True,True,False,False
moving_center,8101,water_stale_rain_fresh,OD02,never,0.34585037456942463,0.34292935852061834,0,0,1,245.08920032531023,False,False,False,False
moving_center,8101,water_stale_rain_fresh,OD02,always,0.34585037456942463,0.34292935852061834,11,0,12,449.75679996423423,False,False,False,False
moving_center,8101,water_stale_rain_fresh,OD02,triggered,0.34585037456942463,0.34292935852061834,0,0,1,242.28790029883385,False,False,False,False
moving_center,8101,rain_stale_water_fresh,OD01,never,0.40387913329774916,0.3791916063737351,0,0,1,277.09610015153885,False,False,False,False
moving_center,8101,rain_stale_water_fresh,OD01,always,0.3939417284611855,0.3791916063737351,11,3,12,739.8193998960778,False,False,True,False
moving_center,8101,rain_stale_water_fresh,OD01,triggered,0.40387913329774916,0.3791916063737351,1,0,2,321.801999816671,False,False,False,False
moving_center,8101,rain_stale_water_fresh,OD02,never,0.3456321653424726,0.34380121618302356,0,0,1,239.74799958523363,False,False,False,False
moving_center,8101,rain_stale_water_fresh,OD02,always,0.3438902917660868,0.34380121618302356,11,3,12,454.08519939519465,False,False,True,True
moving_center,8101,rain_stale_water_fresh,OD02,triggered,0.3456321653424726,0.34380121618302356,0,0,1,239.01999951340258,False,False,False,False
moving_center,8101,source_disagreement,OD01,never,0.37297809881609384,0.3531080787826311,0,0,1,267.45359995402396,False,False,False,False
moving_center,8101,source_disagreement,OD01,always,0.3711202136718212,0.3531080787826311,11,6,12,730.4184001404792,False,False,True,False
moving_center,8101,source_disagreement,OD01,triggered,0.39603308331205805,0.3531080787826311,1,1,2,303.0732001643628,True,False,False,False
moving_center,8101,source_disagreement,OD02,never,0.34585037456942463,0.34292935852061834,0,0,1,240.3921999502927,False,False,False,False
moving_center,8101,source_disagreement,OD02,always,0.3430981784736485,0.34292935852061834,11,2,12,446.2164002470672,False,False,True,True
moving_center,8101,source_disagreement,OD02,triggered,0.34585037456942463,0.34292935852061834,0,0,1,238.96459979005158,False,False,False,False
moving_center,8106,rain_down_water_high,OD01,never,0.3722584729294713,0.3528898370208287,0,0,1,281.5052003134042,False,False,False,False
moving_center,8106,rain_down_water_high,OD01,always,0.3708195093064348,0.3528898370208287,11,6,12,784.6381004201248,False,False,True,False
moving_center,8106,rain_down_water_high,OD01,triggered,0.3961110958641541,0.3528898370208287,1,1,2,340.29580000787973,True,False,False,False
moving_center,8106,rain_down_water_high,OD02,never,0.3469101241421211,0.3409155829549373,0,0,1,235.04770023282617,False,False,False,False
moving_center,8106,rain_down_water_high,OD02,always,0.343974196935065,0.3409155829549373,11,2,12,441.6127004660666,False,False,True,True
moving_center,8106,rain_down_water_high,OD02,triggered,0.3469101241421211,0.3409155829549373,0,0,1,235.84980005398393,False,False,False,False
moving_center,8106,water_delay,OD01,never,0.3722584729294713,0.3528898370208287,0,0,1,271.2886999361217,False,False,False,False
moving_center,8106,water_delay,OD01,always,0.36659457082151675,0.3528898370208287,11,6,12,748.0362004134804,False,False,True,False
moving_center,8106,water_delay,OD01,triggered,0.3961110958641541,0.3528898370208287,1,1,2,308.89830051455647,True,False,False,False
moving_center,8106,water_delay,OD02,never,0.3469101241421211,0.3409155829549373,0,0,1,253.65050020627677,False,False,False,False
moving_center,8106,water_delay,OD02,always,0.343974196935065,0.3409155829549373,11,2,12,464.41730041988194,False,False,True,True
moving_center,8106,water_delay,OD02,triggered,0.3469101241421211,0.3409155829549373,0,0,1,247.61620035860687,False,False,False,False
moving_center,8106,water_block_missing,OD01,never,0.3722584729294713,0.3528898370208287,0,0,1,271.7522996244952,False,False,False,False
moving_center,8106,water_block_missing,OD01,always,0.3708195093064348,0.3528898370208287,11,6,12,739.0859000151977,False,False,True,False
moving_center,8106,water_block_missing,OD01,triggered,0.3961110958641541,0.3528898370208287,1,1,2,305.0679996376857,True,False,False,False
moving_center,8106,water_block_missing,OD02,never,0.3469101241421211,0.3409155829549373,0,0,1,237.32949991244823,False,False,False,False
moving_center,8106,water_block_missing,OD02,always,0.343974196935065,0.3409155829549373,11,2,12,439.32089989539236,False,False,True,True
moving_center,8106,water_block_missing,OD02,triggered,0.3469101241421211,0.3409155829549373,0,0,1,236.31820001173764,False,False,False,False
moving_center,8106,water_recovery,OD01,never,0.3722584729294713,0.3528898370208287,0,0,1,269.58290045149624,False,False,False,False
moving_center,8106,water_recovery,OD01,always,0.3708195093064348,0.3528898370208287,11,6,12,743.3529004920274,False,False,True,False
moving_center,8106,water_recovery,OD01,triggered,0.3961110958641541,0.3528898370208287,1,1,2,305.9010002762079,True,False,False,False
moving_center,8106,water_recovery,OD02,never,0.3469101241421211,0.3409155829549373,0,0,1,237.55199974402785,False,False,False,False
moving_center,8106,water_recovery,OD02,always,0.3410843104127319,0.3409155829549373,11,2,12,437.77780036907643,False,False,True,False
moving_center,8106,water_recovery,OD02,triggered,0.3469101241421211,0.3409155829549373,0,0,1,233.4157001459971,False,False,False,False
moving_center,8106,water_stale_rain_fresh,OD01,never,0.3722584729294713,0.3528898370208287,0,0,1,264.0421995893121,False,False,False,False
moving_center,8106,water_stale_rain_fresh,OD01,always,0.36659457082151675,0.3528898370208287,11,6,12,734.8551994655281,False,False,True,False
moving_center,8106,water_stale_rain_fresh,OD01,triggered,0.3961110958641541,0.3528898370208287,1,1,2,301.75299965776503,True,True,False,False
moving_center,8106,water_stale_rain_fresh,OD02,never,0.3469101241421211,0.3409155829549373,0,0,1,260.0284005748108,False,False,False,False
moving_center,8106,water_stale_rain_fresh,OD02,always,0.343974196935065,0.3409155829549373,11,2,12,463.7400002684444,False,False,True,True
moving_center,8106,water_stale_rain_fresh,OD02,triggered,0.3469101241421211,0.3409155829549373,0,0,1,261.3384001888335,False,False,False,False
moving_center,8106,rain_stale_water_fresh,OD01,never,0.40398072934368695,0.37905625335820625,0,0,1,257.808499969542,False,False,False,False
moving_center,8106,rain_stale_water_fresh,OD01,always,0.3939416096135806,0.37905625335820625,11,3,12,717.4353998852894,False,False,True,False
moving_center,8106,rain_stale_water_fresh,OD01,triggered,0.40398072934368695,0.37905625335820625,1,0,2,312.5058001605794,True,False,False,False
moving_center,8106,rain_stale_water_fresh,OD02,never,0.34669286239379077,0.3432240188291636,0,0,1,240.5383001314476,False,False,False,False
moving_center,8106,rain_stale_water_fresh,OD02,always,0.34488295159052457,0.3432240188291636,11,3,12,445.1534004183486,False,False,True,True
moving_center,8106,rain_stale_water_fresh,OD02,triggered,0.34669286239379077,0.3432240188291636,0,0,1,242.8796001477167,False,False,False,False
moving_center,8106,source_disagreement,OD01,never,0.3722584729294713,0.3528898370208287,0,0,1,266.77929935976863,False,False,False,False
moving_center,8106,source_disagreement,OD01,always,0.3708195093064348,0.3528898370208287,11,6,12,740.9636998781934,False,False,True,False
moving_center,8106,source_disagreement,OD01,triggered,0.3961110958641541,0.3528898370208287,1,1,2,306.65959988255054,True,False,False,False
moving_center,8106,source_disagreement,OD02,never,0.3469101241421211,0.3409155829549373,0,0,1,243.52379993069917,False,False,False,False
