osmid,elevation,worldcover,low_elevation,slope_risk,landcover,rainfall_truth,water_truth,rainfall_observed,water_observed,age_minutes,uncertainty,sensitivity,observed_risk,true_risk,trusted_risk,x,y
267052037,14.396249771118164,50,0.46889149941981434,0.9139586917036854,0.45,0.25,0.35194574970990716,0.25,0.35194574970990716,15.0,0.15,0.05,0.6967691475488007,0.6967691475488007,0.7473660815775374,198636.72469178383,2493237.041015027
269920080,7.689896106719971,50,0.7347719883562087,0.8615996269737747,0.45,0.25,0.48488599417810435,0.0875,0.1454657982534313,120.0,0.9,1.0,0.7561176599900448,0.8565016991749794,1.0,198321.2060425856,2494653.1779718646
277052169,10.054924011230469,50,0.6410079539692904,0.9031673851716068,0.45,0.25,0.4380039769846452,0.25,0.4380039769846452,15.0,0.15,0.05,0.8059470163729405,0.8059470163729405,0.8565439504016772,197128.25447736046,2495930.1602581837
277052181,10.08252239227295,50,0.6399137869431191,0.7525159672885868,0.45,0.25,0.4374568934715595,0.25,0.4374568934715595,15.0,0.15,0.05,0.7675729533351742,0.7675729533351742,0.8181698873639108,197136.63406023494,2495822.014261344
277486655,7.5427656173706055,50,0.7406051323273253,0.9142750740359213,0.45,0.25,0.48780256616366263,0.0875,0.14634076984909877,120.0,0.9,1.0,0.7726697452588289,0.8734621045217418,1.0,198420.27681466506,2496397.1936015747
277665082,11.292864799499512,50,0.591928481199073,0.8735379848573248,0.45,0.25,0.4134642405995365,0.25,0.4134642405995365,15.0,0.15,0.05,0.7666380089937287,0.7666380089937287,0.8172349430224654,199064.3401596864,2495874.3116199938
277665237,20.280147552490234,50,0.235618144441844,0.7282560308735562,0.45,0.25,0.235309072220922,0.25,0.235309072220922,15.0,0.15,0.05,0.49871580160558765,0.49871580160558765,0.5493127356343244,199590.31792228832,2496136.2548741587
277673161,10.811182022094727,50,0.6110253047156297,0.6490865644757654,0.45,0.25,0.4230126523578148,0.25,0.4230126523578148,15.0,0.15,0.05,0.7229380891841006,0.7229380891841006,0.7735350232128373,196945.97771530494,2495824.9326749663
277933349,10.61480712890625,50,0.618810795196539,0.7911856103960605,0.45,0.25,0.4269053975982695,0.25,0.4269053975982695,15.0,0.15,0.05,0.7635234194767655,0.7635234194767655,0.8141203535055022,198433.0463233525,2495116.2849848126
278659481,16.161663055419922,10,0.3988998212748356,0.8551372666130466,0.15,0.25,0.2719499106374178,0.25,0.2719499106374178,15.0,0.15,0.05,0.5675692004819048,0.5675692004819048,0.6181661345106415,195528.36486846476,2496106.4769274504
