delay_minutes,route,trigger_replan,length,observed_risk,true_risk,max_true_risk,high_risk_nodes
0,shortest,False,14.0,0.5018,0.5018,0.8129,4.0
0,risk,False,18.0,0.3263,0.3263,0.3925,0.0
0,trusted,False,18.0,0.3263,0.3263,0.3925,0.0
0,recommended,False,18.0,0.3263,0.3263,0.3925,0.0
15,shortest,True,14.0,0.4064,0.5018,0.8129,4.0
15,risk,True,14.0,0.4064,0.5018,0.8129,4.0
15,trusted,True,18.0,0.3263,0.3263,0.3925,0.0
15,recommended,True,18.0,0.3263,0.3263,0.3925,0.0
30,shortest,True,14.0,0.4064,0.5018,0.8129,4.0
30,risk,True,14.0,0.4064,0.5018,0.8129,4.0
30,trusted,True,18.0,0.3263,0.3263,0.3925,0.0
30,recommended,True,18.0,0.3263,0.3263,0.3925,0.0
60,shortest,True,14.0,0.4064,0.5018,0.8129,4.0
60,risk,True,14.0,0.4064,0.5018,0.8129,4.0
60,trusted,True,18.0,0.3263,0.3263,0.3925,0.0
60,recommended,True,18.0,0.3263,0.3263,0.3925,0.0
120,shortest,True,14.0,0.4064,0.5018,0.8129,4.0
120,risk,True,14.0,0.4064,0.5018,0.8129,4.0
120,trusted,True,18.0,0.3263,0.3263,0.3925,0.0
120,recommended,True,18.0,0.3263,0.3263,0.3925,0.0
